nodes,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
475,42.7421875,83.4609375,129.953125,169.765625,226.453125,277.046875,307.171875,379.171875,422.046875,470.296875,524.578125,524.578125,585.640625,654.328125,654.328125,731.609375,818.546875,818.546875,916.359375,916.359375,916.359375
485,42.8359375,83.4609375,129.953125,186.484375,226.453125,277.046875,341.046875,379.171875,422.046875,470.296875,524.578125,585.640625,585.640625,654.328125,731.609375,731.609375,818.546875,818.546875,916.359375,916.359375,1026.390625
495,42.8671875,88.6171875,141.703125,186.484375,250.265625,277.046875,341.046875,379.171875,422.046875,470.296875,524.578125,585.640625,654.328125,731.609375,731.609375,818.546875,818.546875,916.359375,916.359375,1026.390625,1026.390625
506,42.8671875,88.6171875,141.703125,186.484375,250.265625,307.171875,341.046875,422.046875,470.296875,524.578125,585.640625,585.640625,654.328125,731.609375,818.546875,818.546875,916.359375,916.359375,1026.390625,1026.390625,1150.171875
516,42.8046875,94.671875,141.703125,205.296875,250.265625,307.171875,379.171875,422.046875,470.296875,524.578125,585.640625,654.328125,731.609375,731.609375,818.546875,818.546875,916.359375,916.359375,1026.390625,1026.390625,1150.171875
526,42.8984375,95.234375,155.484375,205.859375,277.609375,307.734375,379.734375,422.609375,470.859375,525.140625,586.203125,654.890625,732.171875,819.109375,819.109375,916.921875,916.921875,1026.953125,1026.953125,1150.734375,1150.734375
536,42.7734375,95.234375,155.484375,205.859375,277.609375,341.609375,379.734375,470.859375,525.140625,586.203125,654.890625,654.890625,732.171875,819.109375,819.109375,916.921875,1026.953125,1026.953125,1150.734375,1150.734375,1289.984375
546,42.8046875,95.234375,155.484375,227.015625,277.609375,341.609375,422.609375,470.859375,525.140625,586.203125,654.890625,732.171875,732.171875,819.109375,916.921875,916.921875,1026.953125,1026.953125,1150.734375,1150.734375,1289.984375
556,42.7734375,102.546875,170.328125,227.015625,277.609375,341.609375,422.609375,470.859375,525.140625,586.203125,654.890625,732.171875,819.109375,819.109375,916.921875,1026.953125,1026.953125,1150.734375,1150.734375,1289.984375,1289.984375
566,42.8359375,102.546875,170.328125,227.015625,307.734375,379.734375,422.609375,525.140625,586.203125,654.890625,732.171875,732.171875,819.109375,916.921875,916.921875,1026.953125,1150.734375,1150.734375,1289.984375,1289.984375,1289.984375
576,42.8046875,102.546875,170.328125,250.828125,307.734375,379.734375,470.859375,525.140625,586.203125,654.890625,732.171875,819.109375,819.109375,916.921875,1026.953125,1026.953125,1150.734375,1150.734375,1289.984375,1289.984375,1446.640625
586,42.8984375,110.796875,187.046875,250.828125,307.734375,379.734375,470.859375,525.140625,586.203125,654.890625,732.171875,819.109375,916.921875,916.921875,1026.953125,1150.734375,1150.734375,1289.984375,1289.984375,1446.640625,1446.640625
596,42.7421875,111.421875,187.671875,251.453125,342.234375,423.234375,471.484375,525.765625,655.515625,732.796875,732.796875,819.734375,917.546875,1027.578125,1027.578125,1151.359375,1151.359375,1290.609375,1290.609375,1447.265625,1447.265625
606,42.8046875,111.421875,187.671875,278.234375,342.234375,423.234375,471.484375,586.828125,655.515625,732.796875,819.734375,917.546875,917.546875,1027.578125,1151.359375,1151.359375,1290.609375,1290.609375,1447.265625,1447.265625,1623.515625
616,42.8671875,111.421875,187.671875,278.234375,342.234375,423.234375,525.765625,586.828125,655.515625,732.796875,819.734375,917.546875,1027.578125,1027.578125,1151.359375,1151.359375,1290.609375,1447.265625,1447.265625,1447.265625,1623.515625
627,42.8671875,120.703125,206.484375,278.234375,380.359375,423.234375,525.765625,586.828125,655.515625,732.796875,819.734375,917.546875,1027.578125,1151.359375,1151.359375,1290.609375,1290.609375,1447.265625,1447.265625,1623.515625,1623.515625
